id,type,name,description,address,postal_code,city,department,region,latitude,longitude,website,email,period,specialty,events_url,precision,source,source_ref,last_updated
lib-01015,librairie,Manga No Tengoku,,13 Rue Carnot 29600 Morlaix,29600,Morlaix,29,,48.577084751,-3.827777985,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,951440726,2026-06-28
lib-01029,librairie,Kokoro No Manga,,26 Rue Des Gentilshommes 29000 Quimper,29000,Quimper,29,,47.996450445944,-4.10570294675211,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,912797537,2026-06-28
lib-01059,librairie,La Bulle,,2 Rue Regale 30000 Nimes,30000,Nimes,30,,43.8363318729879,4.36016480679495,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,420670556,2026-06-28
lib-01083,librairie,Manga Shoten,,15 Rue Des Marchands 30000 Nimes,30000,Nimes,30,,43.837585976,4.3597539833,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,925148306,2026-06-28
lib-01090,librairie,Alain Wester (Books And Bulles),,4 Place Du Planet 30210 Fournes,30210,Fournes,30,,43.929076965,4.6017540387,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,431546308,2026-06-28
lib-01116,librairie,1000 Bulles,,10 Rue Andre Sautel 30200 Bagnols-Sur-Ceze,30200,Bagnols-Sur-Ceze,30,,44.16214193,4.6234036031,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,478767478,2026-06-28
lib-01122,librairie,Librairie Au Comptoir Du Reve Bd Manga Comics Band,,40 Rue De Remusat 31000 Toulouse,31000,Toulouse,31,,43.606590496,1.4448544167,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,484024310,2026-06-28
lib-01130,librairie,Bd Fugue Cafe,,11 Rue Sainte Ursule 31000 Toulouse,31000,Toulouse,31,,43.6019445752552,1.442186404652,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,819303249,2026-06-28
lib-01139,librairie,Claire Beyssel (Otaku),,14 Place De La Mairie 31140 Pechbonnieu,31140,Pechbonnieu,31,,43.7019475438674,1.46773530464733,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,103927174,2026-06-28
lib-01216,librairie,Espace Manga,,14 Rue D'Aubuisson 31000 Toulouse,31000,Toulouse,31,,43.6036116227664,1.45171795374916,,,,manga,,exacte,SIRENE / recherche-entreprises.api.gouv.fr (NAF 47.61Z) | spécialité déduite du nom,507731891,2026-06-28
